date,alpha_set,fold,stitched_nav
2024-12-10,A_45_35_20,2020_2023_to_2024,1.0605771980411614
2024-12-11,A_45_35_20,2020_2023_to_2024,1.062848872152641
2024-12-12,A_45_35_20,2020_2023_to_2024,1.0654795493185394
2024-12-13,A_45_35_20,2020_2023_to_2024,1.0611162306342172
2024-12-16,A_45_35_20,2020_2023_to_2024,1.061674050338728
2024-12-17,A_45_35_20,2020_2023_to_2024,1.060503096222347
2024-12-18,A_45_35_20,2020_2023_to_2024,1.0569145470182049
2024-12-19,A_45_35_20,2020_2023_to_2024,1.056002684957865
2024-12-20,A_45_35_20,2020_2023_to_2024,1.0567749403593065
2024-12-23,A_45_35_20,2020_2023_to_2024,1.060418033590049
2024-12-24,A_45_35_20,2020_2023_to_2024,1.0631385487096832
2024-12-25,A_45_35_20,2020_2023_to_2024,1.0643798672678912
2024-12-26,A_45_35_20,2020_2023_to_2024,1.0654605549561293
2024-12-27,A_45_35_20,2020_2023_to_2024,1.063471328772152
2024-12-30,A_45_35_20,2020_2023_to_2024,1.0618072662679334
2024-12-31,A_45_35_20,2020_2023_to_2024,1.0579474004455292
2025-01-02,A_45_35_20,2020_2024_to_2025,1.0579474004455292
2025-01-03,A_45_35_20,2020_2024_to_2025,1.0566287647346404
2025-01-06,A_45_35_20,2020_2024_to_2025,1.0561317709532076
2025-01-07,A_45_35_20,2020_2024_to_2025,1.0584018995178666
2025-01-08,A_45_35_20,2020_2024_to_2025,1.0577690213925266
